code_insee;prixm2;annee
33509;1276;2017
33387;1431;2017
55121;539;2017
55360;664;2017
33207;1899;2017
55286;1171;2017
55363;;2017
14076;2231;2017
33062;1214;2017
55163;761;2017
55232;862;2017
55492;924;2017
55243;933;2017
55096;818;2017
33264;1016;2017
33442;664;2017
55473;;2017
14166;2264;2017
14098;1849;2017
55017;;2017
14339;;2017
55555;;2017
55021;843;2017
14327;1675;2017
55276;1284;2017
55267;1214;2017
14221;2094;2017
14437;1932;2017
32285;965;2017
14319;1887;2017
32265;;2017
14341;1889;2017
14383;2120;2017
14181;1872;2017
14118;2154;2017
14301;2215;2017
14167;2012;2017
14271;2053;2017
65073;1052;2017
14215;2013;2017
65325;;2017
14101;2267;2017
14137;2399;2017
14543;1781;2017
14587;2197;2017
14610;1432;2017
65418;1329;2017
14454;1842;2017
14738;1965;2017
32086;;2017
14707;1482;2017
14123;1914;2017
14675;1898;2017
14554;1214;2017
14092;2094;2017
14538;1865;2017
14691;;2017
65177;;2017
14556;2052;2017
32401;;2017
16341;1305;2017
14294;;2017
65403;1290;2017
14685;1510;2017
14030;2072;2017
65007;1124;2017
91613;1257;2017
55551;1136;2017
14542;1716;2017
14566;1585;2017
65048;838;2017
14325;2224;2017
14365;2237;2017
55380;954;2017
55093;873;2017
55159;929;2017
55385;;2017
14488;2536;2017
55583;840;2017
67138;;2017
55228;1165;2017
14495;2091;2017
55268;869;2017
55521;;2017
14125;2018;2017
55027;1200;2017
55449;;2017
14068;2162;2017
14060;1891;2017
14758;2438;2017
14288;2169;2017
16055;997;2017
16422;946;2017
67424;;2017
55198;971;2017
55204;1031;2017
16368;824;2017
55054;590;2017
16026;1155;2017
16415;1164;2017
67268;;2017
55353;;2017
16078;1218;2017
55442;2196;2017
16291;1168;2017
16210;829;2017
55395;;2017
16138;1453;2017
16187;1368;2017
65232;;2017
16271;1345;2017
16244;1316;2017
16358;1274;2017
16385;1107;2017
16166;1267;2017
16374;1222;2017
16168;1079;2017
10157;;2017
16199;1133;2017
55154;1035;2017
16388;925;2017
16146;1034;2017
16120;1660;2017
16061;1151;2017
16232;1044;2017
16119;817;2017
55462;;2017
16382;1270;2017
16154;1238;2017
16113;1190;2017
16348;1132;2017
16418;932;2017
55347;;2017
16370;1255;2017
16015;1277;2017
32453;1361;2017
65422;;2017
55060;920;2017
16019;1052;2017
16263;2305;2017
16236;983;2017
64372;578;2017
16287;1087;2017
16101;1207;2017
32014;1119;2017
16420;1052;2017
32024;810;2017
32347;1824;2017
32019;1503;2017
32251;;2017
32282;1141;2017
32368;798;2017
64454;551;2017
32331;1419;2017
32348;973;2017
32258;585;2017
32312;899;2017
67335;;2017
32279;1272;2017
55457;1065;2017
55463;978;2017
55172;1180;2017
32183;1612;2017
32112;623;2017
32117;1851;2017
32316;1122;2017
32091;923;2017
32298;1012;2017
32207;1442;2017
32307;1646;2017
32076;811;2017
32083;1372;2017
31580;2858;2017
59458;2541;2017
32335;1034;2017
32059;2185;2017
32003;;2017
32089;827;2017
32382;1183;2017
32204;1152;2017
32054;1248;2017
32162;1221;2017
32301;1648;2017
31181;1650;2017
31287;1684;2017
32013;1430;2017
55254;2755;2017
32384;1491;2017
31533;2021;2017
31421;2244;2017
31248;2210;2017
31165;1719;2017
31420;2167;2017
31395;2137;2017
31253;2055;2017
31486;1714;2017
31433;2046;2017
31460;2394;2017
31203;2410;2017
31458;2501;2017
31499;1965;2017
31547;2232;2017
31187;2140;2017
31269;2644;2017
31464;966;2017
80206;969;2017
31166;2249;2017
31087;2811;2017
31518;1195;2017
31075;1790;2017
31466;1619;2017
31475;1835;2017
27152;1843;2017
27635;1342;2017
27175;;2017
27004;1090;2017
27119;1664;2017
27696;1642;2017
27078;1215;2017
27114;1542;2017
27076;1734;2017
27273;1330;2017
27400;1090;2017
55406;;2017
27429;;2017
27326;1422;2017
27689;1023;2017
27171;997;2017
27465;1576;2017
27448;1957;2017
27554;1685;2017
55567;;2017
55082;668;2017
55237;919;2017
27440;1617;2017
27397;1649;2017
27540;1323;2017
27562;1866;2017
27331;1421;2017
27312;1383;2017
27190;1712;2017
55068;;2017
27136;992;2017
27358;2695;2017
27123;1336;2017
27612;1273;2017
27694;1326;2017
27203;1732;2017
27501;1055;2017
27285;1545;2017
27525;1420;2017
55515;;2017
27336;864;2017
27140;1316;2017
27343;1108;2017
27254;1416;2017
27674;1434;2017
55429;;2017
55311;;2017
27279;1848;2017
27477;1390;2017
27644;1368;2017
27231;1818;2017
67253;;2017
27681;2178;2017
27399;1731;2017
27072;1972;2017
27495;1740;2017
27408;2091;2017
27016;1426;2017
27473;1572;2017
55444;928;2017
27315;826;2017
55487;;2017
55245;695;2017
27097;1074;2017
27329;1379;2017
27683;1237;2017
27422;1558;2017
27202;1400;2017
27307;1157;2017
27270;;2017
27213;1529;2017
27214;1067;2017
27625;1033;2017
27673;1007;2017
27070;1223;2017
27337;1231;2017
27407;1828;2017
27194;;2017
80556;1272;2017
80691;1319;2017
80110;1180;2017
45215;;2017
80345;798;2017
80029;1103;2017
80287;1613;2017
80251;1730;2017
80464;1289;2017
80700;1108;2017
